playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
Глазами туриста 4K,Xglazami-turista-4k,OK,74.85,2026-09-06T00:41:00+00:00,359
Quadro 4K,Xquadro4k,OK,95.17,2026-09-06T21:00:00+00:00,327
RAZ 1,Xraz1,OK,100.83,2026-09-07T02:40:00+00:00,269
RAZ 2,Xraz2,OK,100.5,2026-09-07T02:20:00+00:00,217
Gulli,Xgulli-girl,OK,95.55,2026-09-06T21:23:00+00:00,409
Jim Jam,Xjimjam,OK,97.12,2026-09-06T22:57:00+00:00,1289
Duck TV,Xducktv,OK,99.13,2026-09-07T00:58:00+00:00,5249
Tiji TV,Xtiji,OK,95.35,2026-09-06T21:11:00+00:00,584
СТС kids,Xsts-kids-hd,OK,97.38,2026-09-06T23:13:00+00:00,1281
СТС Kids HD,Xsts-kids-hd,OK,97.38,2026-09-06T23:13:00+00:00,1281
Cartoon Network,Xcartoon-network,OK,96.0,2026-09-06T21:50:00+00:00,768
Cartoon Classics,Xcartoon-classics,OK,96.08,2026-09-06T21:55:00+00:00,1004
NIKI Kids,Xniki-kids,OK,96.05,2026-09-06T21:53:00+00:00,1274
NIKI Junior,Xniki-junior,OK,96.13,2026-09-06T21:58:00+00:00,1283
Детский мир,Xdetsky-mir,OK,96.08,2026-09-06T21:55:00+00:00,1299
Уникум,Xdetsky,OK,95.75,2026-09-06T21:35:00+00:00,736
Лёва HD,Xliova,OK,100.83,2026-09-07T02:40:00+00:00,661
Пингвин Лоло,Xpingvin-lolo,OK,96.0,2026-09-06T21:50:00+00:00,1219
BCU Мультсериал,Xbcu-multserial,OK,98.57,2026-09-07T00:24:00+00:00,626
BCU Kids+ HD,Xbcu-kids-plus,OK,96.07,2026-09-06T21:54:00+00:00,128
BCU Kids 4K,Xbcu-kids-4k,OK,98.33,2026-09-07T00:10:00+00:00,154
BCU Little HD,Xbcu-little,OK,99.08,2026-09-07T00:55:00+00:00,1626
KBC-Союзмультзал,X39798,OK,85.52,2026-09-06T11:21:20+00:00,465
KBC-Family Animation HD,X38589,OK,85.56,2026-09-06T11:23:31+00:00,99
YOSSO TV Kids,Xyosso-kids,OK,74.03,2026-09-05T23:52:00+00:00,157
Kids TV,Xkidstv,OK,96.13,2026-09-06T21:58:00+00:00,1162
Умка,Xumka,OK,99.08,2026-09-07T00:55:00+00:00,1703
Карусель,Xkarusel,OK,95.58,2026-09-06T21:25:00+00:00,217
Мульт,Xmult,OK,99.17,2026-09-07T01:00:00+00:00,152
Мультимания,Xmultimania,OK,97.92,2026-09-06T23:45:00+00:00,104
СуперГерои,Xmalysh,OK,95.8,2026-09-06T21:38:00+00:00,1106
В гостях у сказки,Xv-gostiax-u-skazki,OK,96.08,2026-09-06T21:55:00+00:00,1084
Пиксель HD,Xpixel,OK,100.17,2026-09-07T02:00:00+00:00,413
Пиксель,Xpixel,OK,100.17,2026-09-07T02:00:00+00:00,413
Плюс Плюс,Xplusplus,OK,100.83,2026-09-07T02:40:00+00:00,342
Da Vinci Learning,Xda-vinci,OK,96.07,2026-09-06T21:54:00+00:00,970
Ani,Xani,OK,97.17,2026-09-06T23:00:00+00:00,95
Cine+ Kids,Xcine-plus-kids,OK,98.42,2026-09-07T00:15:00+00:00,157
Капитан Фантастика,Xginger-hd,OK,95.88,2026-09-06T21:43:00+00:00,794
2x2,X2na2,OK,95.83,2026-09-06T21:40:00+00:00,646
KinoKazka,Xkinokazka,OK,94.92,2026-09-06T20:45:00+00:00,293
Мама,Xmama,OK,99.42,2026-09-07T01:15:00+00:00,271
Чижик,Xchizhik,OK,95.97,2026-09-06T21:48:00+00:00,391
Радость моя,Xradost-moya,OK,94.17,2026-09-06T20:00:00+00:00,271
Детское кино HD,Xdetskoe-kino,OK,96.13,2026-09-06T21:58:00+00:00,2280
О!,Xo_,OK,94.5,2026-09-06T20:20:00+00:00,181
ТипТоп HD,Xtiptop,OK,96.07,2026-09-06T21:54:00+00:00,305
Cartoons 90,Xcartoons-90,OK,99.02,2026-09-07T00:51:00+00:00,609
Cartoons Short,Xcartoons-short,OK,99.08,2026-09-07T00:55:00+00:00,1879
Cartoons Big,Xcartoons-big,OK,98.15,2026-09-06T23:59:00+00:00,152
FAN HD,Xfanhd,OK,101.08,2026-09-07T02:55:00+00:00,245
BOX Anime HD,Xbox-anime,OK,98.63,2026-09-07T00:28:00+00:00,136
BOX M.Serial HD,Xbox-m-serial,OK,98.93,2026-09-07T00:46:00+00:00,730
MM Walt Disney HD,Xminimax-walt-disney,OK,102.25,2026-09-07T04:05:00+00:00,639
CineMan KIDS 4K,Xcineman-kids4k,OK,98.57,2026-09-07T00:24:00+00:00,195
КВН ТВ,Xkvn-tv,OK,94.17,2026-09-06T20:00:00+00:00,134
ТВОЁ ТВ HD - ЮМОР,Xtvoetv-humor,OK,103.77,2026-09-07T05:36:00+00:00,265
ТВОЁ ТВ HD,Xtvoyo-tv-hd,OK,6.17,2026-09-03T04:00:00+00:00,108
Luxury HD,Xluxury-hd,OK,95.67,2026-09-06T21:30:00+00:00,366
Зал суда,Xzal-suda,OK,100.63,2026-09-07T02:28:00+00:00,324
НТВ Право,Xntv-pravo,OK,95.58,2026-09-06T21:25:00+00:00,253
Бобер,Xbobior,OK,95.67,2026-09-06T21:30:00+00:00,155
Закон,Xzakon-tv,OK,96.05,2026-09-06T21:53:00+00:00,297
8 канал,X8kanal-eu,OK,101.0,2026-09-07T02:50:00+00:00,342
Fashion TV HD,Xfashion-tv,OK,95.17,2026-09-06T21:00:00+00:00,223
FashionBox,Xfashionbox-hd,OK,95.67,2026-09-06T21:30:00+00:00,281
Доктор,Xdoktor,OK,95.92,2026-09-06T21:45:00+00:00,324
Здоровое ТВ,Xzdorovoe-tv,OK,96.0,2026-09-06T21:50:00+00:00,603
Театр,Xteatr,OK,10.75,2026-09-03T08:35:00+00:00,121
Кухня ТВ,Xkuxnia-tv,OK,95.67,2026-09-06T21:30:00+00:00,546
FoodTime,Xeda-hd,OK,95.83,2026-09-06T21:40:00+00:00,508
Первый вегетарианский,Xpervy-vegetariansky,OK,95.75,2026-09-06T21:35:00+00:00,614
Союз,Xsoyuz,OK,95.67,2026-09-06T21:30:00+00:00,856
Ретро,Xretro-tv,OK,95.17,2026-09-06T21:00:00+00:00,272
ТБН,Xtbn-ru,OK,95.25,2026-09-06T21:05:00+00:00,428
Успех,Xuspex,OK,96.0,2026-09-06T21:50:00+00:00,478
Ностальгия,Xnostalgia,OK,100.17,2026-09-07T02:00:00+00:00,305
Живи!,Xzhivi,OK,95.17,2026-09-06T21:00:00+00:00,473
Сарафан,Xsarafan,OK,100.25,2026-09-07T02:05:00+00:00,252
Телеканал СПАС,Xspas,OK,100.33,2026-09-07T02:10:00+00:00,266
EWTN Украина,Xewtn-ua,OK,96.0,2026-09-06T21:50:00+00:00,522
English Club TV,Xenglish-club-tv,OK,96.92,2026-09-06T22:45:00+00:00,1523
CNN,Xcnn,OK,97.17,2026-09-06T23:00:00+00:00,268
CNBC,Xcnbc-europe,OK,100.67,2026-09-07T02:30:00+00:00,402
Euronews EN,Xeuronews-en,OK,99.73,2026-09-07T01:34:00+00:00,880
Bloomberg,Xbloomberg,OK,96.67,2026-09-06T22:30:00+00:00,241
RT Doc,Xrtd-ru,OK,95.67,2026-09-06T21:30:00+00:00,460
Мир 24,Xmir-24,OK,100.92,2026-09-07T02:45:00+00:00,808
France 24,Xfrance-24,OK,97.02,2026-09-06T22:51:00+00:00,1042
Дождь,Xdozhd,OK,99.83,2026-09-07T01:40:00+00:00,447
OstWest,Xostwest,OK,96.67,2026-09-06T22:30:00+00:00,361
OstWest24,Xostwest24,OK,95.67,2026-09-06T21:30:00+00:00,329
Жара HD,Xzhara,OK,93.33,2026-09-06T19:10:00+00:00,204
Жара,Xzhara,OK,93.33,2026-09-06T19:10:00+00:00,204
МУЗ,Xmuztv,OK,99.17,2026-09-07T01:00:00+00:00,231
Fon Music,Xtnt-music,OK,95.67,2026-09-06T21:30:00+00:00,223
Европа Плюс ТВ,Xeuropa-plus-tv,OK,95.17,2026-09-06T21:00:00+00:00,287
Megogo Live HD,Xmegogo-live,OK,94.17,2026-09-06T20:00:00+00:00,117
Bridge TV hits,Xbridge-tv-dance,OK,105.17,2026-09-07T07:00:00+00:00,46
Bridge TV Rock,Xbridge-tv-rock,OK,103.17,2026-09-07T05:00:00+00:00,68
Bridge TV Classic,Xbridge-tv-classic,OK,103.17,2026-09-07T05:00:00+00:00,48
Bridge TV Deluxe,Xbridge-hd,OK,102.17,2026-09-07T04:00:00+00:00,232
Bridge TV,Xbridge-tv,OK,104.33,2026-09-07T06:10:00+00:00,99
Bridge TV Шлягер,Xbridge-tv-shlager,OK,114.17,2026-09-07T16:00:00+00:00,42
360 Tune Box HD,X360-tunebox,OK,95.17,2026-09-06T21:00:00+00:00,225
InRating TV HD,Xinrating,OK,95.0,2026-09-06T20:50:00+00:00,124
Muzvar HD,Xmuzwar,OK,100.17,2026-09-07T02:00:00+00:00,230
Trace Latina,Xtrace-latina-fr,OK,96.17,2026-09-06T22:00:00+00:00,169
Mezzo,Xmezzo,OK,95.67,2026-09-06T21:30:00+00:00,162
Mezzo Live HD,Xmezzo-live-hd,OK,94.17,2026-09-06T20:00:00+00:00,167
Шансон ТВ,Xshanson-tv,OK,94.42,2026-09-06T20:15:00+00:00,153
Мультимузыка,Xmultimuzyka,OK,100.17,2026-09-07T02:00:00+00:00,337
RU.TV,Xru-tv-by,OK,96.17,2026-09-06T22:00:00+00:00,149
Музыка,Xmuzyka-pervogo,OK,92.67,2026-09-06T18:30:00+00:00,209
Music Box,Xmusicbox,OK,95.67,2026-09-06T21:30:00+00:00,430
M1 HD,Xm1-ua,OK,95.17,2026-09-06T21:00:00+00:00,71
M2 HD,Xm2-ua,OK,94.17,2026-09-06T20:00:00+00:00,46
О2ТВ,Xo2tv,OK,95.17,2026-09-06T21:00:00+00:00,117
Ля-минор,Xla-minor,OK,95.17,2026-09-06T21:00:00+00:00,99
