playlist_name,group,source,source_id,output_tvg_id,now,next,verified_binding_ok,binding_rule
АСТВ Южно-Сахалинск,Россия,iptv-online-primary,Xastvus,Xastvus,,,,
Майдан,Россия,iptv-online-primary,Xmaydan,Xmaydan,,,,
Хузур ТВ,Россия,iptv-online-primary,Xxuzur-tv,Xxuzur-tv,,,,
Теледом HD,Россия,iptv-online-primary,Xteledom,Xteledom,,,,
Самотлор (Нижневартовск),Россия,iptv-online-primary,Xsamotlor-nv,Xsamotlor-nv,,,,
Viasat Kino HD,Кино,iptv-online-primary,Xtv1000-cee,Xtv1000-cee,,,,
Viasat Kino Action HD,Кино,iptv-online-primary,Xtv1000-action-cee,Xtv1000-action-cee,,,,
Viasat True Crime CEE,Кино,iptv-online-primary,Xviasat-true-crime-cee,Xviasat-true-crime-cee,,,,
Viasat Kino Comedy HD,Кино,iptv-online-primary,Xvip-comedy-cee,Xvip-comedy-cee,,,,
Viasat Kino World,Кино,iptv-online-primary,Xtv1000-worldkino,Xtv1000-worldkino,,,,
Viasat Serial,Кино,iptv-online-primary,Xviasat-serial,Xviasat-serial,,,,
Viju TV1000,Кино,iptv-online-primary,Xtv1000,Xtv1000,,,,
Viju TV1000 HD,Кино,iptv-online-primary,Xtv1000,Xtv1000,,,,
Viju TV1000 Action,Кино,iptv-online-primary,Xtv1000-action,Xtv1000-action,,,,
Viju TV1000 Action HD,Кино,iptv-online-primary,Xtv1000-action,Xtv1000-action,,,,
Viju TV1000 Новелла,Кино,iptv-online-primary,Xviju-tv1000-novella,Xviju-tv1000-novella,,,,
Viju TV1000 Русское кино HD,Кино,iptv-online-primary,Xtv1000-russkoe-kino,Xtv1000-russkoe-kino,,,,
Viju TV1000 Русское кино,Кино,iptv-online-primary,Xtv1000-russkoe-kino,Xtv1000-russkoe-kino,,,,
Viju TV1000 Romantica,Кино,iptv-online-primary,Xviju-tv1000-romantica,Xviju-tv1000-romantica,,,,
Viju+ Serial HD,Кино,iptv-online-primary,Xvip-serial,Xvip-serial,,,,
Viju+ Comedy HD,Кино,iptv-online-primary,Xvip-comedy,Xvip-comedy,,,,
Viju+ Megahit HD,Кино,iptv-online-primary,Xvip-megahit,Xvip-megahit,,,,
Viju+ Premiere HD,Кино,iptv-online-primary,Xvip-premiere,Xvip-premiere,,,,
Душевное HD,Кино,iptv-online-primary,Xdushevnoe-hd,Xdushevnoe-hd,,,,
Наше любимое HD,Кино,iptv-online-primary,Xnashe-lubimoe,Xnashe-lubimoe,,,,
KINOGRANDE HD,Кино,iptv-online-primary,Xnashe-lubimoe-kino-ua,Xnashe-lubimoe-kino-ua,,,,
Наше Мужское HD,Кино,iptv-online-primary,Xnashe-muzhskoe,Xnashe-muzhskoe,,,,
KION Хит,Кино,iptv-online-primary,Xkion-xit,Xkion-xit,,,,
Хит HD,Кино,iptv-online-primary,Xkhit,Xkhit,,,,
Блокбастер HD,Кино,iptv-online-primary,Xblokbaster,Xblokbaster,,,,
Остросюжетное HD,Кино,iptv-online-primary,Xostrosiuzhetnoe-hd,Xostrosiuzhetnoe-hd,,,,
