playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence
Discovery,XDiscovery.Channel.ro,XDiscovery.Channel.ro,Румыния,RO,iptv-online-primary,XDiscovery.Channel.ro,id,99
Disney channel,XDisney.Channel.ro,XDisney.Channel.ro,Румыния,RO,iptv-online-primary,XDisney.Channel.ro,id,99
Disney Junior,XDisney.Junior.ro,XDisney.Junior.ro,Румыния,RO,iptv-online-primary,XDisney.Junior.ro,id,99
Cartoon Network,XCartoon.Network.ro,XCartoon.Network.ro,Румыния,RO,iptv-online-primary,XCartoon.Network.ro,id,99
Duck,XDuck.TV.HD.ro,XDuck.TV.HD.ro,Румыния,RO,iptv-online-primary,XDuck.TV.HD.ro,id,99
E! Entertainment HD RO,XE!.Entertainment.HD.ro,XE!.Entertainment.HD.ro,Румыния,RO,iptv-online-primary,XE!.Entertainment.HD.ro,id,99
Etho,XEtno.TV.HD.ro,XEtno.TV.HD.ro,Румыния,RO,iptv-online-primary,XEtno.TV.HD.ro,id,99
Emi HD,XEMI.TV.HD.ro,XEMI.TV.HD.ro,Румыния,RO,iptv-online-primary,XEMI.TV.HD.ro,id,99
Eurosport HD,XEurosport.1.HD.ro,XEurosport.1.HD.ro,Румыния,RO,iptv-online-primary,XEurosport.1.HD.ro,id,99
Eurosport 2,XEurosport.1.HD.ro,XEurosport.1.HD.ro,Румыния,RO,iptv-online-primary,XEurosport.1.HD.ro,id,99
Eurosport 2 HD,XEurosport.2.HD.ro,XEurosport.2.HD.ro,Румыния,RO,iptv-online-primary,XEurosport.2.HD.ro,id,99
Sport Extra HD,XSport.Extra.ro,XSport.Extra.ro,Румыния,RO,iptv-online-primary,XSport.Extra.ro,id,99
Film Cafe,XFILM.CAFE.HD.ro,XFILM.CAFE.HD.ro,Румыния,RO,iptv-online-primary,XFILM.CAFE.HD.ro,id,99
Happy Channel,XHappy.Channel.HD.ro,XHappy.Channel.HD.ro,Румыния,RO,iptv-online-primary,XHappy.Channel.HD.ro,id,99
HBO HD,XHBO.HD.ro,XHBO.HD.ro,Румыния,RO,iptv-online-primary,XHBO.HD.ro,id,99
HBO2,XHBO.2.ro,XHBO.2.ro,Румыния,RO,iptv-online-primary,XHBO.2.ro,id,99
HBO3,XHBO.3.ro,XHBO.3.ro,Румыния,RO,iptv-online-primary,XHBO.3.ro,id,99
IDXtra HD,XID.Investigation.Discovery.HD.ro,XID.Investigation.Discovery.HD.ro,Румыния,RO,iptv-online-primary,XID.Investigation.Discovery.HD.ro,id,99
CineMax 2 RO,XCinemax.2.HD.ro,XCinemax.2.HD.ro,Румыния,RO,iptv-online-primary,XCinemax.2.HD.ro,id,99
Kiss,XKiss.TV.ro,XKiss.TV.ro,Румыния,RO,iptv-online-primary,XKiss.TV.ro,id,99
Minimax,XMinimax.ro,XMinimax.ro,Румыния,RO,iptv-online-primary,XMinimax.ro,id,99
Mooz Dance HD,XMooz.Dance.ro,XMooz.Dance.ro,Румыния,RO,iptv-online-primary,XMooz.Dance.ro,id,99
HIT Music Channel,XH!T.Music.Channel.ro,XH!T.Music.Channel.ro,Румыния,RO,iptv-online-primary,XH!T.Music.Channel.ro,id,99
Music Channel,XMusic.Channel.ro,XMusic.Channel.ro,Румыния,RO,iptv-online-primary,XMusic.Channel.ro,id,99
National Geographic,XNational.Geographic.HD.ro,XNational.Geographic.HD.ro,Румыния,RO,iptv-online-primary,XNational.Geographic.HD.ro,id,99
Nat Geo Willd HD,XNational.Geographic.Wild.HD.ro,XNational.Geographic.Wild.HD.ro,Румыния,RO,iptv-online-primary,XNational.Geographic.Wild.HD.ro,id,99
National TV,XNational.TV.ro,XNational.TV.ro,Румыния,RO,iptv-online-primary,XNational.TV.ro,id,99
National 24 Plus,XNational.24.Plus.ro,XNational.24.Plus.ro,Румыния,RO,iptv-online-primary,XNational.24.Plus.ro,id,99
Nick JR,XNick.Jr.ro,XNick.Jr.ro,Румыния,RO,iptv-online-primary,XNick.Jr.ro,id,99
Kontra HD,XKontra.gr,XKontra.gr,Греция,GR,iptv-online-primary,XKontra.gr,id,99
Attica,XATTICA.gr,XATTICA.gr,Греция,GR,iptv-online-primary,XATTICA.gr,id,99
Alert,XALERT.gr,XALERT.gr,Греция,GR,iptv-online-primary,XALERT.gr,id,99
HBO HU,XHBO.hu,XHBO.hu,Венгрия,HU,iptv-online-primary,XHBO.hu,id,99
HBO 2 HU,XHBO.2.hu,XHBO.2.hu,Венгрия,HU,iptv-online-primary,XHBO.2.hu,id,99
HBO 3 HU,XHBO.3.hu,XHBO.3.hu,Венгрия,HU,iptv-online-primary,XHBO.3.hu,id,99
HirTV HU,XHIR.TV.hu,XHIR.TV.hu,Венгрия,HU,iptv-online-primary,XHIR.TV.hu,id,99
History HU,XHistory.Channel.hu,XHistory.Channel.hu,Венгрия,HU,iptv-online-primary,XHistory.Channel.hu,id,99
Jocky TV HU,XJocky.TV.hu,XJocky.TV.hu,Венгрия,HU,iptv-online-primary,XJocky.TV.hu,id,99
Moziverzum HU,XMoziverzum.hu,XMoziverzum.hu,Венгрия,HU,iptv-online-primary,XMoziverzum.hu,id,99
Spektrum HU,XSpektrum.hu,XSpektrum.hu,Венгрия,HU,iptv-online-primary,XSpektrum.hu,id,99
Cool HU,XCool.TV.hu,XCool.TV.hu,Венгрия,HU,iptv-online-primary,XCool.TV.hu,id,99
Film Cafe HU,XFilm.Café.hu,XFilm.Café.hu,Венгрия,HU,iptv-online-primary,XFilm.Café.hu,id,99
RTL HU,XRTL.hu,XRTL.hu,Венгрия,HU,iptv-online-primary,XRTL.hu,id,99
Spiler TV HU,XSpíler1.TV.hu,XSpíler1.TV.hu,Венгрия,HU,iptv-online-primary,XSpíler1.TV.hu,id,99
TV2 HU,XTV2.hu,XTV2.hu,Венгрия,HU,iptv-online-primary,XTV2.hu,id,99
Viasat Nature HU,XViasat.Nature.hu,XViasat.Nature.hu,Венгрия,HU,iptv-online-primary,XViasat.Nature.hu,id,99
Minimax HU,XMinimax.hu,XMinimax.hu,Венгрия,HU,iptv-online-primary,XMinimax.hu,id,99
Nicktoons HU,XNicktoons.hu,XNicktoons.hu,Венгрия,HU,iptv-online-primary,XNicktoons.hu,id,99
Nickelodeon HU,XNickelodeon.hu,XNickelodeon.hu,Венгрия,HU,iptv-online-primary,XNickelodeon.hu,id,99
SuperTV2 HU,XSuper.TV2.hu,XSuper.TV2.hu,Венгрия,HU,iptv-online-primary,XSuper.TV2.hu,id,99
Izaura TV HU,XIzaura.TV.hu,XIzaura.TV.hu,Венгрия,HU,iptv-online-primary,XIzaura.TV.hu,id,99
Muzsika TV HU,XMuzsika.TV.hu,XMuzsika.TV.hu,Венгрия,HU,iptv-online-primary,XMuzsika.TV.hu,id,99
Sorozat+ HU,XSorozat+.hu,XSorozat+.hu,Венгрия,HU,iptv-online-primary,XSorozat+.hu,id,99
RTL GOLD HU,XRTL.GOLD.hu,XRTL.GOLD.hu,Венгрия,HU,iptv-online-primary,XRTL.GOLD.hu,id,99
RTL KETTO HU,XRTL.KETTŐ.hu,XRTL.KETTŐ.hu,Венгрия,HU,iptv-online-primary,XRTL.KETTŐ.hu,id,99
RTL HAROM HU,XRTL.HÁROM.hu,XRTL.HÁROM.hu,Венгрия,HU,iptv-online-primary,XRTL.HÁROM.hu,id,99
Cinemax2 HU,XCinemax.2.hu,XCinemax.2.hu,Венгрия,HU,iptv-online-primary,XCinemax.2.hu,id,99
