playlist_name,group,expected_tvg_id,actual_tvg_id,actual_tvg_name,epg_validated,duplicate_name_count,status
Hollywood HD,Кино,hollywood-hd,hollywood-hd,Hollywood HD,True,1,ok
TV XXI,Кино,Xtvxxi,Xtvxxi,TV XXI,True,1,ok
Epic,Кино,Xepic,Xepic,Epic,True,1,ok
Epic Drama HD,Сериалы,XEpic.Drama.HD.pl,XEpic.Drama.HD.pl,Epic Drama HD,True,2,ok
Epic Media Love,Кино,,,,False,1,ok
Epic Media,Кино,,,,False,1,ok
НТВ Сериал,Сериалы,Xntv-serial,Xntv-serial,НТВ Сериал,True,1,ok
НТВ Хит,Сериалы,Xntv-xit,Xntv-xit,НТВ Хит,True,1,ok
Кинопоказ,Кино,Xkinopokaz,Xkinopokaz,Кинопоказ,True,1,ok
Киносат,Кино,Xkinosat,Xkinosat,Киносат,True,1,ok
Кино ТВ HD,Кино,Xkino-tv,Xkino-tv,Кино ТВ HD,True,1,ok
NOW Series HD,Сериалы,Xnow-series,Xnow-series,NOW Series HD,True,1,ok
4ever Theater HD,Кино,X4ever-theater,X4ever-theater,4ever Theater HD,True,1,ok
4ever Cinema HD,Кино,X4ever-cinema,X4ever-cinema,4ever Cinema HD,True,1,ok
4ever Drama HD,Кино,X4ever-drama,X4ever-drama,4ever Drama HD,True,1,ok
Киножелезо HD,Кино,okko-tv,okko-tv,Киножелезо HD,True,2,ok
Kinowood,Кино,Xkinowood,Xkinowood,Kinowood,True,1,ok
Детское Кино International,Кино,detkinoint-tviksel,detkinoint-tviksel,Детское Кино International,True,1,ok
Lost HD,Сериалы,4772,4772,Lost HD,True,1,ok
BEST Films HD,Кино,Best Films,Best Films,BEST Films HD,True,1,ok
Кинодром,Кино,,,,False,1,ok
Воен ТВ,Кино,Xvoentv-by,Xvoentv-by,Воен ТВ,True,1,ok
Кино 1 international,Кино,kino1int-tviksel,kino1int-tviksel,Кино 1 international,True,1,ok
Окко ТВ HD,Кино,Xbubokko-tv,Xbubokko-tv,Окко ТВ HD,True,1,ok
НТВ Сериал Шеф,Сериалы,,,,False,1,ok
НТВ Сериал Невский,Сериалы,,,,False,1,ok
НТВ Сериал Первый Отде,Сериалы,,,,False,1,ok
НТВ Сериал Скорая Помощь,Сериалы,,,,False,1,ok
НТВ Сериал Следствие Вели,Сериалы,,,,False,1,ok
НТВ Сериал Пять Минут Тишины,Сериалы,,,,False,1,ok
Тех Лет ТВ,Кино,Тех Лет ТВ,Тех Лет ТВ,Тех Лет ТВ,True,1,ok
Муви ТВ,Кино,Xmuvitv,Xmuvitv,Муви ТВ,True,1,ok
Новелла ТВ,Сериалы,12593,12593,Новелла ТВ,True,1,ok
Ужасы HD,Кино,Ужасы HD,Ужасы HD,Ужасы HD,True,1,ok
Тайна,Кино,tayna,tayna,Тайна,True,1,ok
Киноман,Кино,kinosat,kinosat,Киноман,True,1,ok
Киносезон,Кино,kinosezon,kinosezon,Киносезон,True,1,ok
Кино 24/7,Кино,,,,False,1,ok
Кино Топ,Кино,,,,False,1,ok
Лента Кино,Кино,,,,False,1,ok
Детектив HD,Кино,,,,False,1,ok
Киножелезо HD,Кино,okko-tv,okko-tv,Киножелезо HD,True,2,ok
Кинолаффка HD,Кино,,,,False,1,ok
Кино и Жизнь,Кино,kino-i-zhizn,kino-i-zhizn,Кино и Жизнь,True,1,ok
Star Media,Кино,,,,False,1,ok
VHS-ка HD,Кино,Xvhs-ka,Xvhs-ka,VHS-ка HD,True,1,ok
Amazon Prime Romance,Кино,,,,False,1,ok
Честный Детектив,Кино,Xchestny-detektiv,Xchestny-detektiv,Честный Детектив,True,1,ok
Plan B,Кино,Xplan-b,Xplan-b,Plan B,True,1,ok
Киноджем 1 HD,Кино,Xkinojam1,Xkinojam1,Киноджем 1 HD,True,1,ok
Киноджем 2 HD,Кино,Xkinojam2,Xkinojam2,Киноджем 2 HD,True,1,ok
DetectiveJam,Сериалы,Xdetectivejam,Xdetectivejam,DetectiveJam,True,1,ok
FamilyJam,Кино,Xfamilyjam,Xfamilyjam,FamilyJam,True,1,ok
Go3 Films,Кино,Xtv1000-premium,Xtv1000-premium,Go3 Films,True,1,ok
FilmZone,Кино,Xfilmzone,Xfilmzone,FilmZone,True,1,ok
FilmZone Plus,Кино,Xfilmzone-plus-lt,Xfilmzone-plus-lt,FilmZone Plus,True,1,ok
FilmBox+ One,Кино,Xfilmbox-ru,Xfilmbox-ru,FilmBox+ One,True,1,ok
FilmBox+ festival,Кино,Xfilmbox-arthouse,Xfilmbox-arthouse,FilmBox+ festival,True,1,ok
Дорама,Кино,Xdorama,Xdorama,Дорама,True,1,ok
Дорама HD,Сериалы,Xdorama,Xdorama,Дорама HD,True,1,ok
Star Family HD,Кино,,,,False,1,ok
Киносериал,Сериалы,Xq-kino-alem,Xq-kino-alem,Киносериал,True,2,ok
Кинодрама,Кино,Xq-kino-hit,Xq-kino-hit,Кинодрама,True,2,ok
Семейное Кино,Кино,Xsemejnoe-kino-kz,Xsemejnoe-kino-kz,Семейное Кино,True,2,ok
Премиум Кино,Кино,Xpremium-kino-kz,Xpremium-kino-kz,Премиум Кино,True,2,ok
