family,playlist_name,playlist_tvg_id,group,region
Other: VIP,VIP Sport 2,,Спорт,
Other: VIP,VIP Sport 3,,Спорт,
Other: VIP,VIP Sport 4,,Спорт,
Other: VIP,VIP Sport 5,,Спорт,
Other: VIP,VIP Sport 6,,Спорт,
Other: VIP,VIP Sport 7,,Спорт,
Other: VIP,VIP Sport 8,,Спорт,
Other: VIP,VIP Sport 9,,Спорт,
Other: Viva,Viva,XViva.Telenovelas.(Viva).il,Израиль,IL
Other: Viva,Viva plus,XViva.Istanbul.(Viva.Plus).il,Израиль,IL
Other: VIVA,VIVA H,,Музыкальные,
Other: Volksmusik,Volksmusik.TV NEU,,Германия,DE
Other: VTM,VTM Non-Stop 90s,XVTM.NON-STOP.DOKTERS.be,BE & NL,BE/NL
Other: W9,W9 HD,,BE & NL,BE/NL
Other: We,We Sport,,Молдова,MD
Other: WELT,WELT HD DE,X76625,Германия,DE
Other: Wness,Wness TV HD,,Болгария,BG
Other: WTV,WTV,,BE & NL,BE/NL
Other: Xplore,Xplore HD,,Германия,DE
Other: Yaldut,Yaldut,,Израиль,IL
Other: Yamtihoni,Yamtihoni,,Израиль,IL
Other: Yes,Yes TV Cinema,,Израиль,IL
Other: YTV,YTV,XYTV.(Youth.Television).-.East.ca,Канада,CA
Other: Zeruno,Zeruno TV,,Музыкальные,
Other: Ziggo,Ziggo Sport,XZiggo.Sport.nl,BE & NL,BE/NL
Other: Zoom,Zoom,XZoom.il,Израиль,IL
Other: ZooSweet,ZooSweet,,Познавательные,
Other: БНТ3,БНТ3,XBNT.4.bg,Болгария,BG
Other: БНТ4,БНТ4,XBNT.4.bg,Болгария,BG
Other: Вестник,Вестник Надыма,Xvestnik-nadyma,Россия,RU
Other: Витрина,Витрина,,Россия,RU
Other: ВТК,ВТК 41 Аргус,,Россия,RU
Other: Детектив,Детектив HD,,Кино,
Other: Загублений,Загублений світ,,Познавательные,
Other: Кинодром,Кинодром,,Кино,
Other: Кинолаффка,Кинолаффка HD,,Кино,
Other: Континент,Континент Е,,Познавательные,
Other: Легенды,Легенды Ретро FM,,Музыкальные,
Other: Лента,Лента Кино,,Кино,
Other: Мультф,Мультфільми для малечі HD,,Детские,
Other: Невигадан,Невигадані Історії HD,,Познавательные,
Other: Новый,Новый Русский HD,,Кино,
Other: НТВ,НТВ Сериал Невский,no_epg_cinema,Кино,
Other: НТВ,НТВ Сериал Первый Отде,no_epg_cinema,Кино,
Other: НТВ,НТВ Сериал Пять Минут Тишины,no_epg_cinema,Кино,
Other: НТВ,НТВ Сериал Скорая Помощь,no_epg_cinema,Кино,
