group,playlist_name,provider_name,provider_tvg_id,output_tvg_id,programme_count,current_count,future_count,current_mode,status
Кино,Победа,Победа,Xpobeda,Xpobeda,62,1,20,EPG,OK
Кино,День Победы HD,День Победы HD,Xdenpobedy,Xdenpobedy,144,1,45,EPG,OK
Кино,Комедия,Комедия,Xrusskaya-komedia,Xrusskaya-komedia,127,1,39,EPG,OK
Кино,Русский бестселлер,Русский бестселлер,Xrussky-bestseller,Xrussky-bestseller,259,1,72,EPG,OK
Кино,Русский детектив,Русский детектив,Xrussky-detektiv,Xrussky-detektiv,210,1,68,EPG,OK
Кино,Киномикс,Киномикс,Xkinomiks,Xkinomiks,96,1,29,EPG,OK
Кино,Любимое кино HD,Любимое кино HD,Xlubimoe-kino,Xlubimoe-kino,102,1,30,EPG,OK
Кино,Любимое кино,Любимое кино,Xlubimoe-kino,Xlubimoe-kino,102,1,30,EPG,OK
Кино,Cinema,Cinema,Xcinema-ru,Xcinema-ru,106,1,29,EPG,OK
Кино,Индийское Кино,Индийское Кино,Xindiyskoe-kino,Xindiyskoe-kino,61,1,18,EPG,OK
Кино,ТВ3,ТВ3,Xtv3-ru,Xtv3-ru,247,1,57,EPG,OK
Кино,НСТ,НСТ,Xnst,Xnst,132,1,42,EPG,OK
Кино,Shot TV,Shot TV,Xshot-tv,Xshot-tv,463,1,141,EPG,OK
Кино,Russian Extreme Ultra HD,Russian Extreme Ultra HD,Xrussian-extreme-uhd,Xrussian-extreme-uhd,227,1,65,EPG,OK
Кино,Kino 2 HD,Kino 2 HD,,kino2-tviksel,100,1,32,EPG,OK
Кино,Патриот,Патриот,,patriot,111,1,38,EPG,OK
Кино,Новый Русский HD,Новый Русский HD,,,0,0,0,,NO_MAPPING
Кино,Смотрим 100% Классика,Смотрим 100% Классика,,smotrim-100-klassika,82,1,0,EPG,NO_NEXT_PROGRAMME
Кино,Смотрим 100% Любовь,Смотрим 100% Любовь,,,0,0,0,,NO_MAPPING
Кино,Смотрим 100% Факты,Смотрим 100% Факты,,smotrim-100-fakty,225,1,3,EPG,OK
Кино,Смотрим 100% Мужское,Смотрим 100% Мужское,,smotrim-100-muzhskoe,102,1,1,EPG,OK
Кино,Смотрим 100% Праздник,Смотрим 100% Праздник,,smotrim-100-prazdnik,93,1,1,EPG,OK
Кино,Смотрим 100% Детское,Смотрим 100% Детское,,smotrim-100-detskoe,262,1,7,EPG,OK
Кино,Военное кино,Военное кино,,voenkino-tviksel,114,1,39,EPG,OK
Кино,Мы,Мы,,myy,377,1,136,EPG,OK
Кино,Timeless Dizi Channel,Timeless Dizi Channel,,timeless-dizi,231,1,72,EPG,OK
Кино,ТСВ,ТСВ,Xtcb,Xtcb,160,1,31,EPG,OK
Кино,Vesna HD,Vesna HD,,vesna,181,1,43,EPG,OK
Кино,9-1-1 HD,9-1-1 HD,,suspense,165,1,44,EPG,OK
Кино,Apple TV+ Woman's Story,Apple TV+ Woman's Story,Xmovify-kino,Xmovify-kino,110,1,33,EPG,OK
Кино,Apple TV+ Action Time,Apple TV+ Action Time,Xmovify-series,Xmovify-series,146,1,29,EPG,OK
Кино,Amazon Prime Video Men's Club,Amazon Prime Video Men's Club,Xmovify-history,Xmovify-history,137,1,32,EPG,OK
Кино,RED Premium HD,RED Premium HD,,11043,356,1,226,EPG,OK
Кино,Госфильмофонд. Машина времени HD,Госфильмофонд. Машина времени HD,Xgosfilmofond-mv,Xgosfilmofond-mv,394,1,131,EPG,OK
Кинозалы,BCU Action HD,BCU Action HD,Xbcu-action,Xbcu-action,92,1,24,EPG,OK
Кинозалы,BCU Comedy HD,BCU Comedy HD,Xbcu-comedy,Xbcu-comedy,99,1,26,EPG,OK
