playlist_name,playlist_tvg_id,group
CANAL+ Sport 2 (SK),Xba674f276a1f7dbe4c756d9ea0b50a38,SkyLink
HRT1,,Хорватия
HRT Int.,,Хорватия
CMC TV,,Хорватия
Atv Antwerpen,,BE & NL
HLN Live,,BE & NL
Play4,,BE & NL
Play5,,BE & NL
Play6,XPlay6.be,BE & NL
Play7,XPlay7.be,BE & NL
Sport 10,,BE & NL
VTM Non-Stop 90s,XVTM.NON-STOP.DOKTERS.be,BE & NL
A1 TV,,BE & NL
BEATTV,,BE & NL
Bel RTL,,BE & NL
BNR Nieuwsradio,,BE & NL
BR6 TV,,BE & NL
BX1,XBX1.be,BE & NL
Filmbox NL HD,XFilmbox.nl.nl,BE & NL
NGC HD,,BE & NL
TV Noord,XTV.Noord.nl,BE & NL
Veronica/DisneyXD HD,XVeronica/Disney.XD.nl,BE & NL
Dit is Helmond,,BE & NL
RMC Life HD,,BE & NL
TF 1 Series Film HD,,BE & NL
W9 HD,,BE & NL
WTV,,BE & NL
Ketnet Junior,,BE & NL
TV Limburg,,BE & NL
TV Oost,,BE & NL
Notele,,BE & NL
Carac 1,,BE & NL
Carac 2,,BE & NL
Carac 3,,BE & NL
Carac 4,,BE & NL
Limburg 1,,BE & NL
Qmusic,,BE & NL
Antwerpen Live,,BE & NL
ITV 1 HD,,UK
ITV 2 HD,,UK
ITV 3 HD,,UK
ITV 4 HD,,UK
Dave HD,,UK
Sky Cinema Sci-Fi HD,,UK
Sky Cinema Drama HD,,UK
Sky Cinema Greats HD,,UK
Haber Global HD TUR,XHaber.Global.tr,Турция
Mega TV,,Турция
TRT Eba Ortaokul,XTRT.Eba.tr,Турция
TRT Sport Yildiz HD TR,XTRT.Spor.Yıldız.tr,Турция
Halk TV,XHalk.TV.tr,Турция
PowerTürk,,Турция
PowerTürk Slow,,Турция
PowerTürk Akustik,,Турция
PowerTürk Taptaze,,Турция
Power Love,,Турция
Xazar TV AZ,,Азербайджан
Medeniyyet AZ,,Азербайджан
Ictimai TV AZ,,Азербайджан
Space TV AZ,,Азербайджан
Real TV HD AZ,,Азербайджан
GUNAZ TV AZ,,Азербайджан
CBC Azerbaijan TV HD AZ,,Азербайджан
ATV Azerbaijan HD AZ,,Азербайджан
Idman AZ,,Азербайджан
+BAKU TV,,Азербайджан
Topaz 2 AZ,,Азербайджан
ARTN,Xartn-am,Армения
AABC,,Армения
High Vision,,Армения
Russian HD,,Для взрослых
Anal,,Для взрослых
DITV XXX 18+,no_epg_xxx,Для взрослых
CineManExExEx,no_epg_xxx,Для взрослых
CineManExExEx TWO,no_epg_xxx,Для взрослых
Kinoerotica HD,no_epg_xxx,Для взрослых
DDF Network,,Для взрослых
