enabled,observed_at,playlist_name,observed_title,origin,notes
1,2026-09-12T22:06:29.296985+00:00,YOSSO-4K,Bash aces PIES ERAS SPO SORT HAT = EE,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=18.0
1,2026-09-12T13:46:00-07:00,USSR HD,Следствие ведут знатоки,user-live,direct TV observation; mapped EPG showed wrong programme Асса
1,2026-09-12T13:46:00-07:00,YOSSO TV Советские фильмы,Вертикаль,user-live,direct TV observation; no current EPG
1,2026-09-12T13:46:00-07:00,MM USSR Детектив HD,Визит к Минотавру 3,user-live,direct TV observation; provider title may include х/ф prefix
1,2026-09-12T23:15:07.715676+00:00,Premiere HD 4,Суперкопы 80,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=22.25
1,2026-09-12T23:15:07.715676+00:00,BCU Unity 2 HDR,СССР.,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=13.0
1,2026-09-12T23:15:07.715676+00:00,BOX Relax 4K,BUX RELAY У,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=14.25
1,2026-09-13T00:19:55.806502+00:00,Кино и Жизнь,Молодой Шерлок,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=23.25
1,2026-09-13T00:19:55.806502+00:00,YOSSO-4K,Фуоззок,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=21.75
1,2026-09-13T00:19:55.806502+00:00,BOX Serial 4K,"Рынок - 1 сезон, 3 серия",movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=14.75
1,2026-09-13T00:41:24.161993+00:00,Кинодром,СЕБЕНЫЕХ,live-verifier,high-confidence OCR from live movie stream
1,2026-09-13T01:20:30.527563+00:00,Premiere HD 2,Моана,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=16.25
1,2026-09-13T02:19:22.088144+00:00,BCU FilMystic HD,Поворот нет,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=13.5
